City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
330,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,37.4,93,20,2.84,few clouds
331,Selma,US,36.5708,-119.6121,73.99,33,1,4.61,clear sky
332,Quatre Cocos,MU,-20.2078,57.7625,79.0,78,40,9.22,light rain
333,Ust-Tsilma,RU,65.441,52.1498,33.64,93,70,3.58,broken clouds
334,Mar Del Plata,AR,-38.0023,-57.5575,71.6,78,0,6.91,clear sky
335,Champerico,GT,14.3,-91.9167,87.8,74,40,9.22,scattered clouds
336,Harindanga,IN,22.0383,88.3214,78.8,73,20,9.44,haze
337,Romny,UA,50.751,33.4747,41.0,81,100,6.6,overcast clouds
338,Caravelas,BR,-17.7125,-39.2481,75.11,82,38,7.49,scattered clouds
339,Dillon,US,34.4166,-79.3712,70.0,26,40,9.22,scattered clouds
340,Port Lincoln,AU,-34.7333,135.8667,59.4,73,78,4.07,broken clouds
341,Talnakh,RU,69.4865,88.3972,31.48,97,100,10.45,snow
342,Gallup,US,35.5281,-108.7426,57.2,21,75,14.97,broken clouds
343,Athabasca,CA,54.7169,-113.2854,39.2,25,100,14.97,overcast clouds
